Fim da primeira fase ... 
0.01
Fim da segunda fase ... 
36260
362.6
Total: 362.61
Suportadas = 56
14 43 5 11
6 13 4 21
6 41 6 4
18 25 6 4
15 31 6 5
7 9 6 8
12 32 5 25
(175 523)

Arvore 9
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
11 21 3 18
9 35 4 11
3 27 3 20
24 42 4 12
23 39 5 4
2 38 4 13
12 22 5 6
13 37 5 6
21 42 4 15
38 43 4 15
12 16 3 24
9 27 5 7
34 38 5 7
30 33 4 16
4 31 3 25
0 37 5 9
23 34 5 9
29 40 5 9
13 33 4 18
17 31 4 18
39 44 3 27
14 43 5 11
6 13 4 21
6 41 6 4
18 25 6 4
15 31 6 5
7 9 6 8
12 32 5 25
(177 505)

Arvore 10
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
11 21 3 18
9 35 4 11
3 27 3 20
24 42 4 12
23 39 5 4
2 38 4 13
12 22 5 6
13 37 5 6
21 42 4 15
38 43 4 15
9 27 5 7
34 38 5 7
12 16 3 24
30 33 4 16
4 31 3 25
0 37 5 9
23 34 5 9
29 40 5 9
13 33 4 18
17 31 4 18
39 44 3 27
14 43 5 11
6 41 6 4
18 25 6 4
6 13 4 21
15 31 6 5
7 9 6 8
19 32 7 8
(179 488)

Arvore 11
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
11 21 3 18
9 35 4 11
23 39 5 4
24 42 4 12
3 27 3 20
2 38 4 13
12 22 5 6
13 37 5 6
9 27 5 7
34 38 5 7
21 42 4 15
38 43 4 15
10 12 4 16
30 33 4 16
0 37 5 9
23 34 5 9
29 40 5 9
4 31 3 25
13 33 4 18
17 31 4 18
14 43 5 11
39 44 3 27
6 41 6 4
18 25 6 4
15 31 6 5
6 13 4 21
7 9 6 8
19 32 7 8
(180 480)

Arvore 12
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
11 21 3 18
9 35 4 11
23 39 5 4
24 42 4 12
3 27 3 20
2 38 4 13
12 22 5 6
13 37 5 6
9 27 5 7
34 38 5 7
21 42 4 15
38 43 4 15
10 12 4 16
30 33 4 16
0 37 5 9
23 34 5 9
29 40 5 9
4 31 3 25
13 33 4 18
17 31 4 18
14 43 5 11
6 41 6 4
18 25 6 4
30 44 6 4
15 31 6 5
6 13 4 21
7 9 6 8
19 32 7 8
(183 457)

Arvore 13
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
11 21 3 18
9 35 4 11
23 39 5 4
24 42 4 12
3 27 3 20
2 38 4 13
12 22 5 6
13 37 5 6
9 27 5 7
34 38 5 7
21 42 4 15
38 43 4 15
10 12 4 16
30 33 4 16
0 37 5 9
23 34 5 9
29 40 5 9
4 31 3 25
13 33 4 18
17 31 4 18
14 43 5 11
6 41 6 4
18 25 6 4
30 44 6 4
15 31 6 5
26 41 6 6
7 9 6 8
19 32 7 8
(185 442)

Arvore 14
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
20 33 3 13
5 27 4 7
26 31 4 7
36 43 4 8
25 28 4 9
23 39 5 4
9 35 4 11
11 21 3 18
24 42 4 12
12 22 5 6
13 37 5 6
2 38 4 13
3 27 3 20
9 27 5 7
34 38 5 7
11 19 5 8
38 43 4 15
0 37 5 9
23 34 5 9
29 40 5 9
10 12 4 16
30 33 4 16
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
14 43 5 11
17 31 4 18
4 31 3 25
15 31 6 5
26 41 6 6
7 9 6 8
19 32 7 8
(188 421)

Arvore 15
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
5 27 4 7
26 31 4 7
20 33 3 13
36 43 4 8
25 28 4 9
23 39 5 4
9 35 4 11
12 22 5 6
13 37 5 6
24 42 4 12
11 21 3 18
9 27 5 7
34 38 5 7
2 38 4 13
11 19 5 8
3 27 3 20
0 37 5 9
23 34 5 9
29 40 5 9
38 43 4 15
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
10 12 4 16
30 33 4 16
15 31 6 5
14 43 5 11
26 41 6 6
17 31 4 18
26 42 4 19
7 9 6 8
19 32 7 8
(189 415)

Arvore 16
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
1 4 3 12
10 16 3 12
5 27 4 7
26 31 4 7
20 33 3 13
36 43 4 8
25 28 4 9
23 39 5 4
9 35 4 11
12 22 5 6
13 37 5 6
24 42 4 12
9 27 5 7
34 38 5 7
11 21 3 18
2 38 4 13
11 19 5 8
0 37 5 9
23 34 5 9
29 40 5 9
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
3 27 3 20
15 31 6 5
10 12 4 16
30 33 4 16
14 43 5 11
26 41 6 6
17 31 4 18
7 9 6 8
26 42 4 19
19 32 7 8
(191 404)

Arvore 17
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
5 27 4 7
26 31 4 7
1 4 3 12
10 16 3 12
36 43 4 8
20 33 3 13
23 39 5 4
25 28 4 9
12 22 5 6
13 37 5 6
9 35 4 11
9 27 5 7
34 38 5 7
24 42 4 12
11 19 5 8
2 38 4 13
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
11 21 3 18
23 34 5 9
29 40 5 9
15 31 6 5
26 41 6 6
3 27 3 20
14 43 5 11
10 12 4 16
30 33 4 16
7 9 6 8
17 31 4 18
26 42 4 19
19 32 7 8
(192 399)

Arvore 18
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
5 27 4 7
26 31 4 7
1 4 3 12
10 16 3 12
36 43 4 8
23 39 5 4
20 33 3 13
25 28 4 9
12 22 5 6
13 37 5 6
9 35 4 11
9 27 5 7
34 38 5 7
24 42 4 12
11 19 5 8
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
2 38 4 13
23 34 5 9
29 40 5 9
11 21 3 18
15 31 6 5
26 41 6 6
3 43 5 11
14 43 5 11
20 40 6 7
10 12 4 16
7 9 6 8
17 31 4 18
26 42 4 19
19 32 7 8
(196 381)

Arvore 19
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
5 27 4 7
26 31 4 7
1 4 3 12
10 16 3 12
36 43 4 8
23 39 5 4
20 33 3 13
25 28 4 9
12 22 5 6
13 37 5 6
9 35 4 11
9 27 5 7
34 38 5 7
24 42 4 12
11 19 5 8
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
2 38 4 13
23 34 5 9
29 40 5 9
15 31 6 5
11 21 3 18
26 41 6 6
3 43 5 11
14 43 5 11
20 40 6 7
10 12 4 16
7 9 6 8
17 31 4 18
6 23 7 6
19 32 7 8
(199 368)

Arvore 20
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
5 27 4 7
26 31 4 7
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
23 39 5 4
36 43 4 8
1 4 3 12
10 16 3 12
25 28 4 9
20 33 3 13
12 22 5 6
13 37 5 6
9 27 5 7
34 38 5 7
9 35 4 11
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
11 19 5 8
24 42 4 12
15 31 6 5
23 29 6 5
29 40 5 9
2 38 4 13
26 41 6 6
11 21 3 18
20 40 6 7
3 43 5 11
14 43 5 11
20 25 7 4
7 9 6 8
6 23 7 6
17 31 4 18
19 32 7 8
(203 352)

Arvore 21
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
3 4 3 10
5 27 4 7
26 31 4 7
23 39 5 4
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
36 43 4 8
1 4 3 12
10 16 3 12
25 28 4 9
12 22 5 6
13 37 5 6
20 33 3 13
9 27 5 7
34 38 5 7
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
9 35 4 11
11 19 5 8
15 31 6 5
23 29 6 5
24 42 4 12
29 40 5 9
26 41 6 6
2 38 4 13
20 40 6 7
20 25 7 4
3 43 5 11
14 43 5 11
11 21 3 18
7 9 6 8
6 23 7 6
17 24 6 11
19 32 7 8
(205 345)

Arvore 22
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
5 27 4 7
26 31 4 7
3 4 3 10
36 43 4 8
12 22 5 6
13 37 5 6
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
25 28 4 9
9 27 5 7
34 38 5 7
15 31 6 5
23 29 6 5
1 4 3 12
10 16 3 12
11 19 5 8
26 41 6 6
20 25 7 4
20 33 3 13
9 35 4 11
29 40 5 9
20 40 6 7
24 42 4 12
7 9 6 8
6 23 7 6
2 38 4 13
3 43 5 11
14 43 5 11
19 32 7 8
21 42 4 15
17 24 6 11
(206 342)

Arvore 23
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
5 27 4 7
26 31 4 7
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
12 22 5 6
13 37 5 6
36 43 4 8
3 4 3 10
15 31 6 5
23 29 6 5
9 27 5 7
34 38 5 7
25 28 4 9
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
20 25 7 4
26 41 6 6
11 19 5 8
1 4 3 12
10 16 3 12
20 40 6 7
29 40 5 9
9 35 4 11
20 33 3 13
6 23 7 6
7 27 7 6
24 42 4 12
3 29 8 5
2 9 7 7
14 43 5 11
19 32 7 8
17 24 6 11
21 42 4 15
(213 328)

Arvore 24
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
5 27 4 7
26 31 4 7
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
12 22 5 6
13 37 5 6
36 43 4 8
3 4 3 10
15 31 6 5
23 29 6 5
9 27 5 7
34 38 5 7
25 28 4 9
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
20 25 7 4
26 41 6 6
11 19 5 8
1 4 3 12
10 16 3 12
20 40 6 7
29 40 5 9
9 35 4 11
20 33 3 13
6 23 7 6
7 27 7 6
24 42 4 12
3 29 8 5
2 9 7 7
14 43 5 11
19 32 7 8
17 24 6 11
7 21 9 6
(218 319)

Arvore 25
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
5 27 4 7
26 31 4 7
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
12 22 5 6
13 37 5 6
36 43 4 8
3 4 3 10
15 31 6 5
23 29 6 5
9 27 5 7
34 38 5 7
25 28 4 9
20 25 7 4
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
26 41 6 6
11 19 5 8
1 4 3 12
10 16 3 12
20 40 6 7
29 40 5 9
9 35 4 11
6 23 7 6
7 27 7 6
20 33 3 13
3 29 8 5
24 42 4 12
2 9 7 7
14 43 5 11
19 32 7 8
3 17 10 4
7 21 9 6
(222 312)

Arvore 26
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
5 27 4 7
26 31 4 7
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
12 22 5 6
13 37 5 6
36 43 4 8
15 31 6 5
23 29 6 5
3 4 3 10
9 27 5 7
34 38 5 7
20 25 7 4
25 28 4 9
26 41 6 6
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
11 19 5 8
20 40 6 7
1 4 3 12
10 16 3 12
29 40 5 9
6 23 7 6
7 27 7 6
9 35 4 11
3 29 8 5
20 33 3 13
2 9 7 7
24 42 4 12
11 14 10 3
19 32 7 8
3 17 10 4
7 21 9 6
(227 304)

Arvore 27
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
5 27 4 7
26 31 4 7
12 22 5 6
13 37 5 6
15 31 6 5
23 29 6 5
36 43 4 8
20 25 7 4
9 27 5 7
34 38 5 7
3 4 3 10
26 41 6 6
25 28 4 9
11 19 5 8
12 29 3 11
12 34 3 11
19 27 3 11
27 42 3 11
10 40 8 4
6 23 7 6
7 27 7 6
0 37 5 9
29 40 5 9
10 16 3 12
3 29 8 5
9 35 4 11
2 9 7 7
20 33 3 13
11 14 10 3
24 28 8 6
19 32 7 8
3 17 10 4
7 21 9 6
(235 292)

Arvore 28
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
5 27 4 7
26 31 4 7
12 22 5 6
13 37 5 6
15 31 6 5
23 29 6 5
36 43 4 8
20 25 7 4
9 27 5 7
34 38 5 7
3 4 3 10
26 41 6 6
25 28 4 9
11 19 5 8
10 40 8 4
12 23 8 4
12 34 3 11
19 27 3 11
27 42 3 11
6 23 7 6
7 27 7 6
0 37 5 9
29 40 5 9
3 29 8 5
10 16 3 12
9 35 4 11
2 9 7 7
11 14 10 3
24 28 8 6
20 33 3 13
19 32 7 8
3 17 10 4
7 21 9 6
(240 285)

Arvore 29
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
5 27 4 7
26 31 4 7
12 22 5 6
13 37 5 6
15 31 6 5
23 29 6 5
20 25 7 4
36 43 4 8
9 27 5 7
34 38 5 7
26 41 6 6
3 4 3 10
10 40 8 4
12 23 8 4
25 28 4 9
11 19 5 8
6 23 7 6
7 27 7 6
12 34 3 11
19 27 3 11
27 42 3 11
3 29 8 5
5 44 9 4
0 37 5 9
11 14 10 3
2 9 7 7
10 16 3 12
24 28 8 6
9 35 4 11
3 17 10 4
19 32 7 8
20 33 3 13
7 21 9 6
(244 280)

Arvore 30
0 1 3 3
8 27 3 3
10 28 3 4
5 43 3 6
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
5 27 4 7
26 31 4 7
12 22 5 6
13 37 5 6
15 31 6 5
23 29 6 5
20 25 7 4
36 43 4 8
9 27 5 7
34 38 5 7
26 41 6 6
10 40 8 4
12 23 8 4
3 4 3 10
25 28 4 9
11 19 5 8
6 23 7 6
7 27 7 6
3 29 8 5
5 44 9 4
12 30 9 4
11 14 10 3
19 27 3 11
27 42 3 11
0 37 5 9
2 9 7 7
24 28 8 6
3 17 10 4
10 16 3 12
9 35 4 11
19 32 7 8
7 21 9 6
20 33 3 13
(250 273)

Arvore 31
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
5 43 3 6
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
15 31 6 5
23 29 6 5
12 22 5 6
13 37 5 6
5 27 4 7
26 31 4 7
10 40 8 4
12 23 8 4
5 34 7 5
26 41 6 6
9 27 5 7
34 38 5 7
11 14 10 3
5 44 9 4
12 30 9 4
3 29 8 5
6 23 7 6
7 27 7 6
20 40 6 7
11 19 5 8
3 4 3 10
14 39 11 3
3 17 10 4
20 42 8 6
24 28 8 6
2 9 7 7
0 37 5 9
7 21 9 6
35 39 9 6
19 32 7 8
10 16 3 12
20 33 3 13
(273 250)

Arvore 32
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
5 43 3 6
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
15 31 6 5
23 29 6 5
12 22 5 6
13 37 5 6
5 27 4 7
26 31 4 7
10 40 8 4
12 23 8 4
5 34 7 5
26 41 6 6
9 27 5 7
34 38 5 7
11 14 10 3
5 44 9 4
12 30 9 4
3 29 8 5
6 23 7 6
7 27 7 6
20 40 6 7
11 19 5 8
14 39 11 3
3 17 10 4
14 37 10 4
20 42 8 6
24 28 8 6
2 9 7 7
0 37 5 9
7 21 9 6
35 39 9 6
19 32 7 8
10 16 3 12
20 33 3 13
(280 244)

Arvore 33
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
5 43 3 6
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
15 31 6 5
23 29 6 5
12 22 5 6
13 37 5 6
5 27 4 7
26 31 4 7
10 40 8 4
12 23 8 4
5 34 7 5
26 41 6 6
11 14 10 3
9 27 5 7
34 38 5 7
5 44 9 4
12 30 9 4
3 29 8 5
6 23 7 6
7 27 7 6
14 39 11 3
20 40 6 7
3 17 10 4
14 37 10 4
11 19 5 8
20 42 8 6
24 28 8 6
2 9 7 7
0 37 5 9
7 21 9 6
35 39 9 6
19 32 7 8
16 38 13 4
20 33 3 13
(290 236)

Arvore 34
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
5 43 3 6
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
15 31 6 5
23 29 6 5
12 22 5 6
13 37 5 6
10 40 8 4
12 23 8 4
5 27 4 7
26 31 4 7
5 34 7 5
11 14 10 3
26 41 6 6
5 44 9 4
9 34 9 4
12 30 9 4
34 38 5 7
3 29 8 5
14 39 11 3
31 44 11 3
7 27 7 6
3 17 10 4
14 37 10 4
20 40 6 7
11 19 5 8
20 42 8 6
24 28 8 6
2 9 7 7
7 21 9 6
35 39 9 6
0 37 5 9
19 32 7 8
16 38 13 4
20 33 3 13
(298 230)

Arvore 35
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
5 43 3 6
20 25 7 4
15 31 6 5
23 29 6 5
10 40 8 4
12 23 8 4
11 14 10 3
12 22 5 6
13 37 5 6
5 34 7 5
5 44 9 4
9 34 9 4
12 30 9 4
5 27 4 7
26 31 4 7
14 39 11 3
31 44 11 3
26 41 6 6
3 29 8 5
3 17 10 4
14 37 10 4
34 38 5 7
7 27 7 6
20 40 6 7
20 42 8 6
24 28 8 6
11 19 5 8
2 9 7 7
7 21 9 6
35 39 9 6
16 38 13 4
23 32 10 6
0 37 5 9
33 39 12 7
(310 222)

Arvore 36
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
5 43 3 6
11 14 10 3
10 40 8 4
12 23 8 4
15 31 6 5
23 29 6 5
14 39 11 3
31 44 11 3
5 44 9 4
9 34 9 4
12 30 9 4
5 34 7 5
12 22 5 6
13 37 5 6
3 17 10 4
14 37 10 4
3 29 8 5
26 41 6 6
5 27 4 7
26 31 4 7
7 27 7 6
34 38 5 7
18 30 10 5
20 42 8 6
24 28 8 6
16 38 13 4
2 44 11 5
7 21 9 6
35 39 9 6
11 19 5 8
23 32 10 6
0 37 5 9
33 39 12 7
(318 218)

Arvore 37
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
5 43 3 6
11 14 10 3
10 40 8 4
12 23 8 4
15 31 6 5
23 29 6 5
14 39 11 3
31 44 11 3
5 44 9 4
9 34 9 4
12 30 9 4
5 34 7 5
12 22 5 6
13 37 5 6
3 17 10 4
14 37 10 4
3 29 8 5
26 41 6 6
5 27 4 7
26 31 4 7
7 27 7 6
34 38 5 7
18 30 10 5
20 42 8 6
24 28 8 6
16 38 13 4
2 44 11 5
7 21 9 6
35 39 9 6
11 19 5 8
23 32 10 6
1 9 16 4
33 39 12 7
(329 213)

Arvore 38
0 1 3 3
8 27 3 3
10 28 3 4
23 39 5 4
4 13 6 4
6 41 6 4
10 30 6 4
18 25 6 4
30 44 6 4
34 36 6 4
20 25 7 4
11 14 10 3
10 40 8 4
12 23 8 4
14 39 11 3
31 44 11 3
5 43 3 6
15 31 6 5
23 29 6 5
5 44 9 4
9 34 9 4
12 30 9 4
5 34 7 5
3 17 10 4
14 37 10 4
12 22 5 6
13 37 5 6
3 29 8 5
26 41 6 6
5 27 4 7
26 31 4 7
7 27 7 6
18 30 10 5
16 38 13 4
34 38 5 7
20 42 8 6
24 28 8 6
