Fim da primeira fase ... 
0
contador = 10
it = 0
60 96 ( 5832) 
53 182 ( 5832) 
60 96 ( 5832) 
61 84 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
61 84 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
61 84 ( 5834) 
61 84 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
61 84 ( 5834) 
61 84 ( 5834) 
54 170 ( 5834) 
54 170 ( 5834) 
60 97 ( 5839) 
60 97 ( 5839) 
53 183 ( 5839) 
60 97 ( 5839) 
53 183 ( 5839) 
60 97 ( 5839) 
53 183 ( 5839) 
60 97 ( 5839) 
53 183 ( 5839) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
54 171 ( 5841) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
54 171 ( 5841) 
54 171 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
61 85 ( 5841) 
54 171 ( 5841) 
60 98 ( 5846) 
60 98 ( 5846) 
53 184 ( 5846) 
60 98 ( 5846) 
53 184 ( 5846) 
60 98 ( 5846) 
60 98 ( 5846) 
60 98 ( 5846) 
60 98 ( 5846) 
53 184 ( 5846) 
53 184 ( 5846) 
61 86 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
54 172 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
61 86 ( 5848) 
55 160 ( 5850)  dentro de T maisDistante = 57 160

60 99 ( 5853) 
61 87 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
61 87 ( 5855) 
54 173 ( 5855) 
55 161 ( 5857) 
55 161 ( 5857) 
55 161 ( 5857) 
60 100 ( 5860) 
53 186 ( 5860) 
60 100 ( 5860) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
54 174 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
61 88 ( 5862) 
54 174 ( 5862) 
62 76 ( 5864) 
55 162 ( 5864) 
55 162 ( 5864) 
55 162 ( 5864) 
55 162 ( 5864) 
55 162 ( 5864) 
62 76 ( 5864) 
55 162 ( 5864) 
53 187 ( 5867) 
60 101 ( 5867) 
60 101 ( 5867) 
60 101 ( 5867) 
53 187 ( 5867) 
60 101 ( 5867) 
61 89 ( 5869) 
54 175 ( 5869) 
54 175 ( 5869) 
54 175 ( 5869) 
61 89 ( 5869) 
54 175 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
54 175 ( 5869) 
54 175 ( 5869) 
54 175 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
54 175 ( 5869) 
54 175 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
54 175 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
54 175 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
61 89 ( 5869) 
54 175 ( 5869) 
55 163 ( 5871) 
55 163 ( 5871) 
62 77 ( 5871) 
62 77 ( 5871) 
55 163 ( 5871) 
62 77 ( 5871) 
55 163 ( 5871) 
55 163 ( 5871) 
62 77 ( 5871) 
61 90 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
54 176 ( 5876) 
54 176 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
61 90 ( 5876) 
55 164 ( 5878) 
62 78 ( 5878) 
62 78 ( 5878) 
55 164 ( 5878) 
55 164 ( 5878) 
62 78 ( 5878) 
55 164 ( 5878) 
62 78 ( 5878) 
55 164 ( 5878) 
55 164 ( 5878) 
60 103 ( 5881) 
61 91 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
61 91 ( 5883) 
54 177 ( 5883) 
54 177 ( 5883) 
54 177 ( 5883) 
54 177 ( 5883) 
55 165 ( 5885) 
55 165 ( 5885) 
62 79 ( 5885) 
55 165 ( 5885) 
55 165 ( 5885) 
55 165 ( 5885) 
62 79 ( 5885) 
55 165 ( 5885) 
62 79 ( 5885) 
55 165 ( 5885) 
62 79 ( 5885) 
55 165 ( 5885) 
62 79 ( 5885) 
60 104 ( 5888) 
53 190 ( 5888) 
60 104 ( 5888) 
61 92 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
61 92 ( 5890) 
54 178 ( 5890) 
62 80 ( 5892) 
55 166 ( 5892) 
62 80 ( 5892) 
55 166 ( 5892) 
55 166 ( 5892) 
55 166 ( 5892) 
62 80 ( 5892) 
55 166 ( 5892) 
62 80 ( 5892) 
55 166 ( 5892) 
62 80 ( 5892) 
62 80 ( 5892) 
62 80 ( 5892) 
55 166 ( 5892) 
62 80 ( 5892) 
55 166 ( 5892) 
61 93 ( 5897) 
54 179 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
54 179 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
54 179 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
54 179 ( 5897) 
54 179 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
61 93 ( 5897) 
54 179 ( 5897) 
54 179 ( 5897) 
54 179 ( 5897) 
61 93 ( 5897) 
54 179 ( 5897) 
54 179 ( 5897) 
62 81 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
55 167 ( 5899) 
55 167 ( 5899) 
55 167 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
62 81 ( 5899) 
55 167 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
62 81 ( 5899) 
55 167 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
55 167 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
62 81 ( 5899) 
55 167 ( 5899) 
62 81 ( 5899) 
60 106 ( 5902) 
53 192 ( 5902) 
54 180 ( 5904) 
54 180 ( 5904) 
61 94 ( 5904) 
54 180 ( 5904) 
61 94 ( 5904) 
54 180 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
54 180 ( 5904) 
61 94 ( 5904) 
54 180 ( 5904) 
54 180 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
54 180 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
61 94 ( 5904) 
54 180 ( 5904) 
55 168 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
62 82 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
62 82 ( 5906) 
55 168 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
62 82 ( 5906) 
62 82 ( 5906) 
55 168 ( 5906) 
55 168 ( 5906) 
62 82 ( 5906) 
61 95 ( 5911) 
54 181 ( 5911) 
54 181 ( 5911) 
61 95 ( 5911) 
61 95 ( 5911) 
54 181 ( 5911) 
61 95 ( 5911) 
61 95 ( 5911) 
61 95 ( 5911) 
54 181 ( 5911) 
61 95 ( 5911) 
61 95 ( 5911) 
62 83 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
55 169 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
62 83 ( 5913) 
56 157 ( 5915)  dentro de T maisDistante = 57 157

54 182 ( 5918) 
54 182 ( 5918) 
61 96 ( 5918) 
54 182 ( 5918) 
54 182 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
61 96 ( 5918) 
54 182 ( 5918) 
54 182 ( 5918) 
61 96 ( 5918) 
55 170 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
62 84 ( 5920) 
55 170 ( 5920) 
55 170 ( 5920) 
61 97 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
61 97 ( 5925) 
61 97 ( 5925) 
61 97 ( 5925) 
54 183 ( 5925) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
55 171 ( 5927) 
62 85 ( 5927) 
61 98 ( 5932) 
61 98 ( 5932) 
61 98 ( 5932) 
61 98 ( 5932) 
61 98 ( 5932) 
61 98 ( 5932) 
54 184 ( 5932) 
61 98 ( 5932) 
54 184 ( 5932) 
61 98 ( 5932) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
55 172 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
62 86 ( 5934) 
56 160 ( 5936) 
56 160 ( 5936) 
63 74 ( 5936) 
