Fim da primeira fase ... 
0
contador = 9
it = 0
111 220 ( 11734) 
127 146 ( 11734) 
111 220 ( 11734) 
126 151 ( 11740) 
126 151 ( 11740) 
126 151 ( 11740) 
126 151 ( 11740) 
126 151 ( 11740) 
126 151 ( 11740) 
126 151 ( 11740) 
126 151 ( 11740) 
110 225 ( 11740) 
126 151 ( 11740) 
110 225 ( 11740) 
126 151 ( 11740) 
112 216 ( 11744) 
112 216 ( 11744) 
128 142 ( 11744) 
112 216 ( 11744) 
128 142 ( 11744) 
128 142 ( 11744) 
125 156 ( 11746) 
125 156 ( 11746) 
127 147 ( 11750) 
127 147 ( 11750) 
127 147 ( 11750) 
127 147 ( 11750) 
127 147 ( 11750) 
111 221 ( 11750) 
111 221 ( 11750) 
111 221 ( 11750) 
111 221 ( 11750) 
127 147 ( 11750) 
127 147 ( 11750) 
127 147 ( 11750) 
111 221 ( 11750) 
113 212 ( 11754)  dentro de T maisDistante = 124 212

113 212 ( 11754) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
126 152 ( 11756) 
110 226 ( 11756) 
110 226 ( 11756) 
110 226 ( 11756) 
112 217 ( 11760) 
112 217 ( 11760) 
128 143 ( 11760) 
112 217 ( 11760) 
112 217 ( 11760) 
112 217 ( 11760) 
112 217 ( 11760) 
112 217 ( 11760) 
128 143 ( 11760) 
112 217 ( 11760) 
128 143 ( 11760) 
112 217 ( 11760) 
112 217 ( 11760) 
125 157 ( 11762) 
125 157 ( 11762) 
125 157 ( 11762) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
111 222 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
111 222 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
111 222 ( 11766) 
111 222 ( 11766) 
111 222 ( 11766) 
127 148 ( 11766) 
127 148 ( 11766) 
111 222 ( 11766) 
111 222 ( 11766) 
127 148 ( 11766) 
111 222 ( 11766) 
111 222 ( 11766) 
127 148 ( 11766) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
126 153 ( 11772) 
110 227 ( 11772) 
110 227 ( 11772) 
126 153 ( 11772) 
110 227 ( 11772) 
128 144 ( 11776) 
128 144 ( 11776) 
112 218 ( 11776) 
128 144 ( 11776) 
112 218 ( 11776) 
128 144 ( 11776) 
128 144 ( 11776) 
112 218 ( 11776) 
128 144 ( 11776) 
112 218 ( 11776) 
112 218 ( 11776) 
112 218 ( 11776) 
112 218 ( 11776) 
112 218 ( 11776) 
125 158 ( 11778) 
125 158 ( 11778) 
125 158 ( 11778) 
127 149 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
111 223 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
111 223 ( 11782) 
111 223 ( 11782) 
127 149 ( 11782) 
127 149 ( 11782) 
111 223 ( 11782) 
111 223 ( 11782) 
113 214 ( 11786) 
113 214 ( 11786) 
113 214 ( 11786) 
129 140 ( 11786) 
129 140 ( 11786) 
113 214 ( 11786) 
126 154 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
110 228 ( 11788) 
110 228 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
126 154 ( 11788) 
110 228 ( 11788) 
112 219 ( 11792) 
128 145 ( 11792) 
128 145 ( 11792) 
112 219 ( 11792) 
112 219 ( 11792) 
112 219 ( 11792) 
128 145 ( 11792) 
112 219 ( 11792) 
112 219 ( 11792) 
128 145 ( 11792) 
128 145 ( 11792) 
128 145 ( 11792) 
112 219 ( 11792) 
128 145 ( 11792) 
112 219 ( 11792) 
112 219 ( 11792) 
112 219 ( 11792) 
112 219 ( 11792) 
128 145 ( 11792) 
125 159 ( 11794) 
125 159 ( 11794) 
125 159 ( 11794) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
111 224 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
111 224 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
111 224 ( 11798) 
127 150 ( 11798) 
111 224 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
127 150 ( 11798) 
111 224 ( 11798) 
113 215 ( 11802) 
113 215 ( 11802) 
129 141 ( 11802) 
113 215 ( 11802) 
113 215 ( 11802) 
129 141 ( 11802) 
113 215 ( 11802) 
113 215 ( 11802) 
113 215 ( 11802) 
113 215 ( 11802) 
113 215 ( 11802) 
129 141 ( 11802) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
126 155 ( 11804) 
110 229 ( 11804) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
128 146 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
112 220 ( 11808) 
125 160 ( 11810) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
111 225 ( 11814) 
127 151 ( 11814) 
111 225 ( 11814) 
111 225 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
111 225 ( 11814) 
111 225 ( 11814) 
111 225 ( 11814) 
111 225 ( 11814) 
111 225 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
111 225 ( 11814) 
111 225 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
111 225 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
127 151 ( 11814) 
129 142 ( 11818) 
113 216 ( 11818) 
113 216 ( 11818) 
113 216 ( 11818) 
129 142 ( 11818) 
129 142 ( 11818) 
113 216 ( 11818) 
113 216 ( 11818) 
129 142 ( 11818) 
113 216 ( 11818) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
126 156 ( 11820) 
112 221 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
112 221 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
112 221 ( 11824) 
128 147 ( 11824) 
128 147 ( 11824) 
112 221 ( 11824) 
128 147 ( 11824) 
112 221 ( 11824) 
114 212 ( 11828) 
114 212 ( 11828) 
114 212 ( 11828) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
111 226 ( 11830) 
127 152 ( 11830) 
111 226 ( 11830) 
111 226 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
111 226 ( 11830) 
111 226 ( 11830) 
111 226 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
127 152 ( 11830) 
111 226 ( 11830) 
111 226 ( 11830) 
113 217 ( 11834) 
113 217 ( 11834) 
129 143 ( 11834) 
129 143 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
129 143 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
129 143 ( 11834) 
129 143 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
129 143 ( 11834) 
129 143 ( 11834) 
113 217 ( 11834) 
113 217 ( 11834) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
126 157 ( 11836) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
128 148 ( 11840) 
112 222 ( 11840) 
128 148 ( 11840) 
114 213 ( 11844) 
114 213 ( 11844) 
114 213 ( 11844) 
114 213 ( 11844) 
114 213 ( 11844) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
111 227 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
111 227 ( 11846) 
111 227 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
127 153 ( 11846) 
111 227 ( 11846) 
127 153 ( 11846) 
111 227 ( 11846) 
127 153 ( 11846) 
111 227 ( 11846) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
129 144 ( 11850) 
113 218 ( 11850) 
113 218 ( 11850) 
129 144 ( 11850) 
126 158 ( 11852) 
126 158 ( 11852) 
126 158 ( 11852) 
126 158 ( 11852) 
126 158 ( 11852) 
126 158 ( 11852) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
112 223 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
128 149 ( 11856) 
114 214 ( 11860) 
114 214 ( 11860) 
130 140 ( 11860) 
130 140 ( 11860) 
114 214 ( 11860) 
130 140 ( 11860) 
130 140 ( 11860) 
114 214 ( 11860) 
114 214 ( 11860) 
114 214 ( 11860) 
114 214 ( 11860) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
127 154 ( 11862) 
111 228 ( 11862) 
111 228 ( 11862) 
111 228 ( 11862) 
111 228 ( 11862) 
111 228 ( 11862) 
127 154 ( 11862) 
129 145 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
129 145 ( 11866) 
113 219 ( 11866) 
113 219 ( 11866) 
126 159 ( 11868) 
126 159 ( 11868) 
126 159 ( 11868) 
126 159 ( 11868) 
126 159 ( 11868) 
126 159 ( 11868) 
126 159 ( 11868) 
115 210 ( 11870)  dentro de T maisDistante = 124 210

128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
128 150 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
112 224 ( 11872) 
114 215 ( 11876) 
114 215 ( 11876) 
130 141 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
130 141 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
130 141 ( 11876) 
130 141 ( 11876) 
130 141 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
130 141 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
114 215 ( 11876) 
130 141 ( 11876) 
114 215 ( 11876) 
130 141 ( 11876) 
130 141 ( 11876) 
114 215 ( 11876) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
111 229 ( 11878) 
111 229 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
111 229 ( 11878) 
111 229 ( 11878) 
111 229 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
111 229 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
127 155 ( 11878) 
111 229 ( 11878) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
129 146 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
113 220 ( 11882) 
129 146 ( 11882) 
126 160 ( 11884) 
126 160 ( 11884) 
126 160 ( 11884) 
126 160 ( 11884) 
126 160 ( 11884) 
126 160 ( 11884) 
126 160 ( 11884) 
115 211 ( 11886) 
115 211 ( 11886) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
112 225 ( 11888) 
112 225 ( 11888) 
128 151 ( 11888) 
128 151 ( 11888) 
114 216 ( 11892) 
114 216 ( 11892) 
114 216 ( 11892) 
130 142 ( 11892) 
130 142 ( 11892) 
